
Index: [127, 127]
Bin[0] = [0, 1[ -> 0
Bin[1] = [1, 2[ -> 0
Bin[2] = [2, 3[ -> 0
Bin[3] = [3, 4[ -> 0
Bin[4] = [4, 5[ -> 0
Bin[5] = [5, 6[ -> 0
Bin[6] = [6, 7[ -> 0
Bin[7] = [7, 8[ -> 0
Bin[8] = [8, 9[ -> 0
Bin[9] = [9, 10[ -> 0
Bin[10] = [10, 11[ -> 0
Bin[11] = [11, 12[ -> 0
Bin[12] = [12, 13[ -> 0
Bin[13] = [13, 14[ -> 0
Bin[14] = [14, 15[ -> 0
Bin[15] = [15, 16[ -> 0
Bin[16] = [16, 17[ -> 0
Bin[17] = [17, 18[ -> 0
Bin[18] = [18, 19[ -> 0
Bin[19] = [19, 20[ -> 0
Bin[20] = [20, 21[ -> 0
Bin[21] = [21, 22[ -> 0
Bin[22] = [22, 23[ -> 0
Bin[23] = [23, 24[ -> 0
Bin[24] = [24, 25[ -> 0
Bin[25] = [25, 26[ -> 0
Bin[26] = [26, 27[ -> 0
Bin[27] = [27, 28[ -> 0
Bin[28] = [28, 29[ -> 0
Bin[29] = [29, 30[ -> 0
Bin[30] = [30, 31[ -> 0
Bin[31] = [31, 32[ -> 0
Bin[32] = [32, 33[ -> 0
Bin[33] = [33, 34[ -> 0
Bin[34] = [34, 35[ -> 0
Bin[35] = [35, 36[ -> 0
Bin[36] = [36, 37[ -> 0
Bin[37] = [37, 38[ -> 14
Bin[38] = [38, 39[ -> 81
Bin[39] = [39, 40[ -> 195
Bin[40] = [40, 41[ -> 296
Bin[41] = [41, 42[ -> 366
Bin[42] = [42, 43[ -> 420
Bin[43] = [43, 44[ -> 468
Bin[44] = [44, 45[ -> 514
Bin[45] = [45, 46[ -> 556
Bin[46] = [46, 47[ -> 594
Bin[47] = [47, 48[ -> 628
Bin[48] = [48, 49[ -> 660
Bin[49] = [49, 50[ -> 690
Bin[50] = [50, 51[ -> 718
Bin[51] = [51, 52[ -> 746
Bin[52] = [52, 53[ -> 772
Bin[53] = [53, 54[ -> 796
Bin[54] = [54, 55[ -> 820
Bin[55] = [55, 56[ -> 842
Bin[56] = [56, 57[ -> 862
Bin[57] = [57, 58[ -> 884
Bin[58] = [58, 59[ -> 906
Bin[59] = [59, 60[ -> 924
Bin[60] = [60, 61[ -> 940
Bin[61] = [61, 62[ -> 956
Bin[62] = [62, 63[ -> 972
Bin[63] = [63, 64[ -> 988
Bin[64] = [64, 65[ -> 1002
Bin[65] = [65, 66[ -> 1002
Bin[66] = [66, 67[ -> 988
Bin[67] = [67, 68[ -> 972
Bin[68] = [68, 69[ -> 956
Bin[69] = [69, 70[ -> 940
Bin[70] = [70, 71[ -> 924
Bin[71] = [71, 72[ -> 908
Bin[72] = [72, 73[ -> 892
Bin[73] = [73, 74[ -> 876
Bin[74] = [74, 75[ -> 860
Bin[75] = [75, 76[ -> 844
Bin[76] = [76, 77[ -> 828
Bin[77] = [77, 78[ -> 812
Bin[78] = [78, 79[ -> 796
Bin[79] = [79, 80[ -> 780
Bin[80] = [80, 81[ -> 764
Bin[81] = [81, 82[ -> 748
Bin[82] = [82, 83[ -> 732
Bin[83] = [83, 84[ -> 716
Bin[84] = [84, 85[ -> 700
Bin[85] = [85, 86[ -> 684
Bin[86] = [86, 87[ -> 668
Bin[87] = [87, 88[ -> 652
Bin[88] = [88, 89[ -> 636
Bin[89] = [89, 90[ -> 620
Bin[90] = [90, 91[ -> 604
Bin[91] = [91, 92[ -> 588
Bin[92] = [92, 93[ -> 572
Bin[93] = [93, 94[ -> 556
Bin[94] = [94, 95[ -> 540
Bin[95] = [95, 96[ -> 524
Bin[96] = [96, 97[ -> 508
Bin[97] = [97, 98[ -> 492
Bin[98] = [98, 99[ -> 476
Bin[99] = [99, 100[ -> 460
Bin[100] = [100, 101[ -> 444
Bin[101] = [101, 102[ -> 428
Bin[102] = [102, 103[ -> 412
Bin[103] = [103, 104[ -> 396
Bin[104] = [104, 105[ -> 380
Bin[105] = [105, 106[ -> 364
Bin[106] = [106, 107[ -> 348
Bin[107] = [107, 108[ -> 332
Bin[108] = [108, 109[ -> 316
Bin[109] = [109, 110[ -> 300
Bin[110] = [110, 111[ -> 284
Bin[111] = [111, 112[ -> 268
Bin[112] = [112, 113[ -> 252
Bin[113] = [113, 114[ -> 236
Bin[114] = [114, 115[ -> 220
Bin[115] = [115, 116[ -> 204
Bin[116] = [116, 117[ -> 188
Bin[117] = [117, 118[ -> 172
Bin[118] = [118, 119[ -> 156
Bin[119] = [119, 120[ -> 140
Bin[120] = [120, 121[ -> 124
Bin[121] = [121, 122[ -> 108
Bin[122] = [122, 123[ -> 92
Bin[123] = [123, 124[ -> 76
Bin[124] = [124, 125[ -> 60
Bin[125] = [125, 126[ -> 44
Bin[126] = [126, 127[ -> 28
Bin[127] = [127, 128[ -> 13
