Name:  Fine Snow
Type:  Frost, Snow and Ice
Class:  Snow
Subclass:  Fine snow.
Particle Size: 24 micrometers effective size
Sample No.:  Original filename FINE.SNW.
Owner:  Dept. of Earth and Planetary Science, John Hopkins University
Wavelength Range:  All
Origin:  Collected at John Hopkins University IR Spectroscopy Lab.  

Description:  Fine snow. The spectrum from 0.3 to 2.08 micrometers was 
modeled, while that from 2.08 to 14 micrometers was measured (see Introductory 
text for details).  



Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 0.30000
Last X Value:  14.01
Number of X Values:  2264
Additional Information:  None.

0.3	98.12	
0.3	98.249		
0.3	98.246		
0.31	98.387		
0.31	98.344		
0.31	98.274		
0.31	98.307		
0.31	98.102		
0.32	98.237		
0.32	98.321		
0.32	98.365		
0.32	98.441		
0.32	98.378		
0.33	98.39		
0.33	98.443		
0.33	98.49		
0.33	98.517
0.33	98.454
0.34	98.496
0.34	98.49
0.34	98.53
0.34	98.572
0.34	98.518
0.35	98.623
0.35	98.498
0.35	98.667
0.35	98.659
0.35	98.729
0.36	98.732
0.36	98.672
0.36	98.551
0.36	98.633
0.36	98.763
0.37	98.804
0.37	98.737
0.37	98.545
0.37	98.803
0.37	98.672
0.38	98.805
0.38	98.708
0.38	98.646
0.38	98.8
0.38	98.936
0.39	98.94
0.39	99.01
0.39	98.534
0.39	98.874
0.39	98.983
0.4	98.703
0.4	98.822
0.4	98.977
0.4	98.895
0.4	98.827
0.41	98.98
0.41	98.825
0.41	98.974
0.41	99.011
0.41	98.981
0.42	98.577
0.42	99.105
0.42	99.005
0.42	99.145
0.42	98.973
0.43	98.972
0.43	99.144
0.43	98.942
0.43	99.096
0.43	99.095
0.44	99.141
0.44	99.094
0.44	99.14
0.44	99.06
0.44	99.19
0.45	99.14
0.45	99.204
0.45	99.198
0.45	99.301
0.45	99.19
0.46	99.306
0.46	99.252
0.46	99.364
0.46	99.299
0.46	99.187
0.47	99.149
0.47	99.247
0.47	99.295
0.47	99.24
0.47	99.195
0.48	99.15
0.48	99.187
0.48	99.246
0.48	99.251
0.48	99.104
0.49	99.187
0.49	99.307
0.49	99.426
0.49	99.062
0.49	99.203
0.5	99.141
0.5	99.059
0.5	99.006
0.5	99.193
0.5	99.094
0.51	99.191
0.51	99.022
0.51	99.144
0.51	99.109
0.51	99.049
0.52	99.055
0.52	99.105
0.52	99.136
0.52	99.063
0.52	99.149
0.53	99.093
0.53	99.098
0.53	99.105
0.53	99.185
0.53	99.099
0.54	98.987
0.54	98.965
0.54	99.01
0.54	99.063
0.54	98.928
0.55	98.977
0.55	99.01
0.55	98.947
0.55	99.011
0.55	98.898
0.56	98.962
0.56	99.053
0.56	99.019
0.56	98.983
0.56	98.949
0.57	99.089
0.57	99.006
0.57	98.803
0.57	98.796
0.57	98.906
0.58	98.809
0.58	98.977
0.58	98.784
0.58	98.936
0.58	98.887
0.59	98.718
0.59	98.823
0.59	98.692
0.59	98.791
0.59	98.797
0.6	98.706
0.6	98.805
0.6	98.682
0.6	98.596
0.6	98.498
0.61	98.614
0.61	98.67
0.61	98.61
0.61	98.499
0.61	98.474
0.62	98.476
0.62	98.281
0.62	98.424
0.62	98.375
0.62	98.287
0.63	98.228
0.63	98.268
0.63	98.305
0.63	98.235
0.63	98.244
0.64	98.104
0.64	97.937
0.64	98.155
0.64	98.194
0.64	98.139
0.65	98.041
0.65	97.96
0.65	97.075
