Name:  Frost
Type:  Frost, Snow and Ice
Class:  Frost
Subclass:  
Particle Size:  10 micrometers effective size.
Sample No.:  Original filename FROST.SNW.
Owner:  Dept. of Earth and Planetary Science, John Hopkins University
Wavelength Range:  All
Origin:  Collected at John Hopkins University IR Spectroscopy Lab.  

Description:  Frost.  The spectrum from 0.3 to 2.08 micrometers was modeled, 
while that from 2.08 to 14 micrometers was measured.  The effective particle size 
was 10 micrometers (see Introductory text for details).



Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 0.30000
Last X Value:  14.01
Number of X Values:  2264
Additional Information:  None.

0.3	99
0.3	98.81
0.3	97.97
0.31	98.55
0.31	98.77
0.31	99.03
0.31	98.77
0.31	99.06
0.32	98.95
0.32	99
0.32	98.95
0.32	98.95
0.32	98.99
0.33	99.04
0.33	99.14
0.33	98.94
0.33	98.91
0.33	99.14
0.34	99.08
0.34	98.99
0.34	98.93
0.34	99.09
0.34	99.1
0.35	99.01
0.35	99.08
0.35	99.06
0.35	99.07
0.35	99.02
0.36	99.18
0.36	99.13
0.36	99.29
0.36	99.09
0.36	99.27
0.37	99.21
0.37	99.22
0.37	99.23
0.37	99.19
0.37	99.19
0.38	99.24
0.38	99.28
0.38	99.2
0.38	99.16
0.38	99.37
0.39	99.21
0.39	99.2
0.39	99.33
0.39	99.26
0.39	99.26
0.4	99.32
0.4	99.12
0.4	99.21
0.4	99.28
0.4	99.29
0.41	99.34
0.41	99.28
0.41	99.34
0.41	99.4
0.41	99.39
0.42	99.28
0.42	99.22
0.42	99.21
0.42	99.38
0.42	99.33
0.43	99.34
0.43	99.34
0.43	99.45
0.43	99.45
0.43	99.51
0.44	99.34
0.44	99.46
0.44	99.33
0.44	99.32
0.44	99.37
0.45	99.4
0.45	99.46
0.45	99.52
0.45	99.46
0.45	99.62
0.46	99.34
0.46	99.45
0.46	99.54
0.46	99.47
0.46	99.61
0.47	99.6
0.47	99.46
0.47	99.54
0.47	99.52
0.47	99.46
0.48	99.4
0.48	99.51
0.48	99.47
0.48	99.53
0.48	99.51
0.49	99.41
0.49	99.45
0.49	99.51
0.49	99.47
0.49	99.39
0.5	99.41
0.5	99.46
0.5	99.38
0.5	99.54
0.5	99.45
0.51	99.45
0.51	99.53
0.51	99.34
0.51	99.46
0.51	99.45
0.52	99.41
0.52	99.45
0.52	99.52
0.52	99.4
0.52	99.19
0.53	99.54
0.53	99.32
0.53	99.41
0.53	99.6
0.53	99.41
0.54	99.2
0.54	99.33
0.54	99.45
0.54	99.14
0.54	99.52
0.55	99.29
0.55	99.39
0.55	99.3
0.55	99.45
0.55	99.47
0.56	99.28
0.56	99.41
0.56	99.33
0.56	99.3
0.56	99.32
0.57	99.3
0.57	99.32
0.57	99.25
0.57	99.21
0.57	99.35
0.58	99.32
0.58	99.3
0.58	99.19
0.58	99.46
0.58	99.28
0.59	99.27
0.59	99.31
0.59	99.26
0.59	99.35
0.59	99.21
0.6	99.24
0.6	99.13
0.6	99.28
0.6	99.17
0.6	99.17
0.61	99.16
0.61	99.22
0.61	99.1
0.61	99.08
0.61	98.99
0.62	99.08
0.62	98.96
0.62	98.95
0.62	98.92
0.62	98.91
0.63	98.97
0.63	98.94
0.63	98.93
0.63	98.88
0.63	98.87
0.64	98.88
0.64	98.94
0.64	98.89
0.64	98.84
0.64	98.65
0.65	98.82
0.65	98.76
0.65	98.75
0.65	98.74
0.65	98.71
0.66	98.66
0.66	98.53
0.66	98.75
0.66	98.61
0.66	98.59
0.67	98.59
0.67	98.55
0.67	98.59
0.67	98.55
0.67	98.56
0.68	98.5
0.68	98.53
0.68	98.51
0.68	98.49
0.68	98.49
0.69	98.45
0.69	98.51
0.69	98.48
0.69	98.33
0.69	98.33
0.7	98.39
0.7	98.3
0.7	98.25
0.7	97.69
0.7	98.25
0.71	97.97
0.71	98.19
0.71	98.16
0.71	98.08
0.71	98.09
0.72	98.11
0.72	98.05
0.72	97.97
0.72	98.01
0.72	98.05
0.73	97.82
0.73	97.91
0.73	97.99
0.73	98.03
0.73	97.94
0.74	97.94
0.74	97.91
0.74	97.74
0.74	97.76
0.74	97.83
0.75	97.77
0.75	97.65
0.75	97.69
0.75	97.7
0.75	97.52
0.76	97.47
0.76	97.56
0.76	97.55
0.76	97.32
0.76	97.26
0.77	97.33
0.77	97.39
0.77	97.18
0.77	96.86
0.77	97.22
0.78	97.19
0.78	97.02
0.78	96.72
0.78	97.01
0.78	97.01
0.79	96.85
0.79	96.62
0.79	96.83
0.79	96.86
0.79	96.72
0.8	96.45
0.8	96.67
0.8	96.73
0.82	96.53
0.84	96.45
0.86	95.85
0.88	94.88
0.9	94.43
0.92	94.35
0.94	93.89
0.96	92.77
0.98	91.8
