Name:  Pink Marble 
Type:  Rocks
Class:  Metamorphic 
Subclass:  Marble 
Particle Size:  0-75 Micrometer
Sample No.:  marble7.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 360, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This sample consists of coarse-grained calcite poikiloblastically 
enclosing a finely disseminated opaque/ferric phase in the cores of the 
carbonate.  There has been a considerable amount of granulation (cataclasis) 
with some carbonate grains showing bent lamellae.  There are trace amounts of 
larger opaque phases in this rock.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

14.983	35.261
14.940	35.068
14.897	35.005
14.854	35.693
14.812	36.382
14.770	36.280
14.728	35.935
14.686	36.140
14.645	36.132
14.603	35.930
14.562	35.954
14.521	35.439
14.481	34.224
14.441	32.468
14.400	30.984
14.361	29.950
14.321	27.961
14.281	25.418
14.242	22.211
14.203	17.830
14.164	13.173
14.126	8.6315
14.087	4.6383
14.049	2.1446
14.011	1.1310
13.973	1.4891
13.936	4.0486
13.899	8.7650
13.861	14.464
13.824	19.747
13.788	24.041
13.751	27.399
13.715	30.127
13.679	32.495
13.643	34.540
13.607	36.300
13.571	37.779
13.536	38.919
13.500	39.817
13.465	40.464
13.430	40.858
13.396	41.110
13.361	41.316
13.327	41.373
13.293	41.200
13.259	40.931
13.225	40.643
13.191	40.189
13.158	39.663
13.124	39.089
13.091	38.356
13.058	37.473
13.026	36.605
12.993	35.823
12.960	35.188
12.928	34.849
12.896	34.759
12.864	34.717
12.832	34.687
12.800	34.664
12.769	34.744
12.737	34.928
12.706	35.317
12.675	35.858
12.644	36.416
12.614	36.814
12.583	37.058
12.552	37.261
12.522	37.490
12.492	37.786
12.462	38.206
12.432	38.572
12.402	38.866
12.373	39.013
12.343	39.028
12.314	39.038
12.285	39.217
12.256	39.523
12.227	39.983
12.198	40.393
12.169	40.671
12.141	40.748
12.113	40.757
12.084	40.679
12.056	40.606
12.028	40.342
12.000	39.949
11.973	39.406
11.945	38.751
11.918	37.738
11.890	36.241
11.863	33.331
11.836	27.128
11.809	17.299
11.782	13.962
11.755	21.149
11.729	26.317
11.702	26.549
11.676	24.991
11.650	22.730
11.624	20.083
11.598	17.282
