Name:  Hornblende Schist 
Type:  Rocks
Class:  Metamorphic 
Subclass: Schist 
Particle Size:  0-75 Micrometer
Sample No.:   schist9.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 393, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This low grade schist is a very coarse-grained rock composed of 
bands of acicular hornblende and feldspar.  Microscopically there are large 
hornblende subhedra associated with serpophite and chlorite.  In addition to the 
alkali feldspar anhedra there are small muscovite subhedra, and scattered 
magnetite.  Calcite crystals and grains occur throughout the sample, often 
associated with the hornblende or serpophite/chlorite.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  schist9a.txt

14.983	1.6293
14.940	2.0044
14.897	1.7600
14.854	1.4474
14.812	1.5308
14.770	1.8055
14.728	1.7657
14.686	1.6179
14.645	1.6634
14.603	1.9135
14.562	1.7629
14.521	1.7780
14.481	1.7164
14.441	1.5923
14.400	1.5886
14.361	1.7060
14.321	1.7941
14.281	1.8244
14.242	1.8481
14.203	1.9196
14.164	1.9220
14.126	1.9883
14.087	1.9684
14.049	1.9731
14.011	1.9556
13.973	1.9750
13.936	1.9821
13.899	2.0196
13.861	2.0324
13.824	2.0631
13.788	2.0930
13.751	2.1171
13.715	2.1105
13.679	2.1252
13.643	2.1531
13.607	2.1922
13.571	2.2509
13.536	2.2955
13.500	2.3113
13.465	2.3201
13.430	2.3587
13.396	2.3646
13.361	2.2981
13.327	2.2812
13.293	2.2746
13.259	2.2926
13.225	2.3009
13.191	2.2869
13.158	2.2528
13.124	2.2396
13.091	2.2424
13.058	2.2587
13.026	2.2573
12.993	2.2493
12.960	2.2737
12.928	2.3494
12.896	2.3959
12.864	2.4553
12.832	2.5060
12.800	2.5541
12.769	2.5988
12.737	2.6102
12.706	2.5948
12.675	2.6054
12.644	2.6258
12.614	2.6905
12.583	2.7707
12.552	2.8247
12.522	2.8707
12.492	2.9292
12.462	2.9604
12.432	2.9924
12.402	3.0185
12.373	3.0703
12.343	3.1290
12.314	3.1887
12.285	3.2880
12.256	3.3969
12.227	3.5080
12.198	3.6330
12.169	3.7419
12.141	3.8513
12.113	3.9292
12.084	4.0124
12.056	4.0877
12.028	4.1466
12.000	4.1928
