Name:  Dolomitic Marble 
Type:  Rocks
Class:  Metamorphic 
Subclass:  Marble 
Particle Size:  0-75 Micrometer
Sample No.:  marble4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 458, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: A  fine-grained rock with granulated dolomite and a trace of 
tremolite/actinolite, and possibly some phlogopite.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

14.983	14.883
14.940	15.656
14.897	16.448
14.854	16.964
14.812	16.858
14.770	17.252
14.728	17.358
14.686	17.824
14.645	18.214
14.603	18.134
14.562	18.091
14.521	18.407
14.481	18.652
14.441	18.788
14.400	18.786
14.361	18.881
14.321	18.763
14.281	18.502
14.242	17.987
14.203	17.365
14.164	16.642
14.126	15.736
14.087	14.402
14.049	12.898
14.011	11.657
13.973	10.549
13.936	9.1401
13.899	7.5971
13.861	6.0028
13.824	4.5857
13.788	3.3912
13.751	2.6002
13.715	2.0622
13.679	1.4976
13.643	1.3461
13.607	2.1204
13.571	3.7701
13.536	6.1193
13.500	8.6997
13.465	11.328
13.430	13.866
13.396	16.278
13.361	18.620
13.327	20.918
13.293	23.150
13.259	25.308
13.225	27.280
13.191	29.053
13.158	30.610
13.124	31.939
13.091	33.156
13.058	34.345
13.026	35.395
12.993	36.358
12.960	37.118
12.928	37.692
12.896	38.053
12.864	38.293
12.832	38.474
12.800	38.664
12.769	38.896
12.737	39.262
12.706	39.725
12.675	40.232
12.644	40.630
12.614	40.957
12.583	41.197
12.552	41.350
12.522	41.514
12.492	41.710
12.462	41.887
12.432	42.081
12.402	42.197
12.373	42.301
12.343	42.345
12.314	42.410
12.285	42.399
12.256	42.325
12.227	42.234
12.198	42.143
12.169	41.967
12.141	41.805
12.113	41.632
12.084	41.434
12.056	41.166
12.028	40.856
12.000	40.432
11.973	39.973
11.945	39.400
11.918	38.688
11.890	37.766
11.863	36.632
11.836	34.844
11.809	31.828
11.782	26.881
11.755	19.399
11.729	12.608
11.702	14.777
11.676	21.327
11.650	23.333
11.624	22.196
11.598	20.012
11.572	17.468
11.546	14.802
11.520	12.231
11.495	9.8468
11.469	7.9769
11.444	6.7175
11.419	6.0824
