Name:  White Marble 
Type:  Rocks
Class:  Metamorphic 
Subclass:  Marble 
Particle Size:  0-75 Micrometer
Sample No.:  marble6.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 457, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This rock contains coarse-grained carbonate with scattered small 
subrounded quartz grains and minor subhedral tremolite which has altered to talc 
in a few spots.



Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.9831
Last X Value:  0.4
Number of X Values:  2868
Additional Information:  None

14.983	34.647
14.940	35.383
14.897	36.203
14.854	36.820
14.812	37.199
14.770	37.355
14.728	37.351
14.686	37.253
14.645	37.084
14.603	36.835
14.562	36.388
14.521	35.685
14.481	34.742
14.441	33.539
14.400	32.047
14.361	30.135
14.321	27.574
14.281	24.284
14.242	20.356
14.203	16.035
14.164	11.699
14.126	7.7261
14.087	4.4690
14.049	2.2225
14.011	1.2108
13.973	1.6501
13.936	3.6569
13.899	7.1381
13.861	11.738
13.824	16.871
13.788	21.935
13.751	26.474
13.715	30.256
13.679	33.290
13.643	35.728
13.607	37.737
13.571	39.416
13.536	40.795
13.500	41.891
13.465	42.696
13.430	43.225
13.396	43.522
13.361	43.613
13.327	43.506
13.293	43.222
13.259	42.794
13.225	42.250
13.191	41.599
13.158	40.862
13.124	40.063
13.091	39.209
13.058	38.327
13.026	37.478
12.993	36.729
12.960	36.134
12.928	35.722
12.896	35.490
12.864	35.401
12.832	35.411
12.800	35.512
12.769	35.709
12.737	36.004
12.706	36.383
12.675	36.807
12.644	37.228
12.614	37.604
12.583	37.930
12.552	38.233
12.522	38.546
12.492	38.882
12.462	39.235
12.432	39.570
12.402	39.844
12.373	40.043
12.343	40.195
12.314	40.348
12.285	40.550
12.256	40.827
12.227	41.182
12.198	41.570
12.169	41.926
12.141	42.207
12.113	42.388
12.084	42.450
12.056	42.378
12.028	42.201
12.000	42.054
11.973	41.853
11.945	41.027
11.918	38.995
11.890	35.609
11.863	31.211
11.836	26.567
11.809	22.792
11.782	21.045
11.755	21.537
11.729	23.181
11.702	24.677
11.676	25.150
11.650	24.166
11.624	21.762
11.598	18.461
11.572	14.999
11.546	11.805
11.520	8.9516
11.495	6.5823
11.469	4.8718
11.444	3.7954
11.419	3.1928
