Name: Decidous
Type:  Vegetation
Class:  Trees
Subclass:  Deciduous
Particle Size:  Solids
Sample No.:  decidous.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Spectral data from measurements by Barry Rock (VNIR) and Jack 
Salisbury (TIR)---see file vegetata.doc for details.
Description:  Decidous trees.  Spectra were assembled from two segments; the 
VNIR and SWIR comprising segment one, and the MWIR and TIR comprising 
segment two.  Both segments used leaf piles to simulate a canopy.



Measurement:  Bidirectional and directional hemispherical reflectance.
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.302
Last X Value:  14 
Number of X Values: 550
Additional Information:  None.

0.302	4.948	 
0.304	4.961		
0.306	4.973		
0.308	4.986		
0.31	4.998		
0.312	5.011		
0.314	5.023		
0.316	5.036		
0.318	5.048		
0.32	5.061		
0.322	5.073		
0.324	5.086		
0.326	5.098		
0.328	5.111		
0.33	5.123		
0.332	5.136		
0.334	5.148
0.336	5.161
0.338	5.173
0.34	5.186
0.342	5.198
0.344	5.211
0.346	5.223
0.348	5.236
0.35	5.248
0.352	5.261
0.354	5.273
0.356	5.286
0.358	5.298
0.36	5.311
0.362	5.323
0.364	5.336
0.366	5.348
0.368	5.361
0.37	5.373
0.372	5.386
0.374	5.398
0.376	5.411
0.378	5.423
0.38	5.436
0.382	5.448
0.384	5.461
0.386	5.473
0.388	5.486
0.39	5.498
0.392	5.511
0.394	5.523
0.396	5.536
0.398	5.548
0.4	5.561
0.402	5.573
0.404	5.585
0.406	5.598
0.408	5.609
0.41	5.621
0.412	5.634
0.414	5.645
0.416	5.658
0.418	5.669
0.42	5.682
0.422	5.694
0.424	5.706
0.426	5.718
0.428	5.729
0.43	5.742
0.432	5.754
0.434	5.766
0.436	5.778
0.438	5.79
0.44	5.802
0.442	5.814
0.444	5.826
0.446	5.838
0.448	5.85
0.45	5.862
0.452	5.874
0.454	5.886
0.456	5.899
0.458	5.911
0.46	5.923
0.462	5.935
0.464	5.947
0.466	5.959
0.468	5.971
0.47	5.983
0.472	5.995
0.474	6.008
0.476	6.019
0.478	6.032
