Name: Greywacke Sandstone
Type:  Rocks
Class:  Sedimentary
Subclass:  Sandstone
Particle Size:  500 - 1500 Micrometers
Sample No.:  greywacke.1
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 454, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  Sample is a clean, medium fine-grained graywacke; no 
lithoclasts are present. Sample is compacted, with concomitant 
pressure solution effects in quartz grains (some bent plagioclase as 
well). Biotite and irregular masses of actinolite occur primarily 
between grain sutures of the tectosilicates. Sodic plagioclase, 
microcline occur in small amounts; scattered opaques are abundant.
Measurement:  Directional (10 degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4
Number of X Values:  2843
Additional Information:  None 

14.0112	2.5122
13.9734	2.5747
13.9359	2.6275
13.8985	2.6663
13.8614	2.7098
13.8244	2.7345
13.7876	2.7285
13.7511	2.7093
13.7147	2.7237
13.6785	2.7574
13.6425	2.8197
13.5711	2.9629
13.5356	3.0233
13.5004	3.0647
13.4653	3.09
13.4304	3.1201
13.3957	3.147
13.3612	3.1737
13.3269	3.184
13.2927	3.2003
13.2587	3.2448
13.2249	3.2996
13.1912	3.3525
13.1577	3.3946
13.1244	3.4398
13.0913	3.4924
13.0583	3.5453
13.0255	3.6159
12.9929	3.7317
12.9604	3.9109
12.9281	4.1509
12.8959	4.4272
12.8639	4.6959
12.8321	4.9002
12.8004	4.9734
12.7688	4.8861
12.7375	4.653
12.7063	4.3385
12.6752	4.0394
12.6443	3.8528
12.6135	3.8186
12.5829	3.9353
12.5524	4.1394
12.5221	4.3478
12.4919	4.4361
12.4619	4.3145
12.432	3.9645
12.4023	3.4491
12.3727	2.8789
12.3432	2.3682
12.3139	2.006
12.2847	1.8355
12.2557	1.8141
12.2268	1.8782
12.198	1.96
12.1694	2.0387
12.1409	2.1184
12.1125	2.1916
12.0843	2.2558
12.0562	2.3119
12.0282	2.3658
12.0003	2.4218
11.9726	2.4862
11.945	2.5567
11.9176	2.6151
11.8903	2.6701
11.8631	2.7261
11.836	2.7876
11.809	2.8464
11.7822	2.896
11.7555	2.9395
11.7289	2.9775
11.7024	3.0062
11.676	3.0412
11.6498	3.0952
11.6237	3.1776
11.5977	3.2584
11.5718	3.3047
11.546	3.3297
11.5203	3.3654
11.4948	3.4041
11.4694	3.4365
11.444	3.4819
11.4188	3.551
11.3937	3.6171
11.3688	3.6632
11.3439	3.7069
11.3191	3.7587
11.2944	3.8073
11.2699	3.848
11.2455	3.8853
11.2211	3.9365
11.1969	3.9849
11.1727	4.0291
11.1487	4.0832
11.1248	4.1384
11.101	4.1829
11.0773	4.2311
11.0536	4.2906
11.0301	4.3597
11.0067	4.416
10.9834	4.4701
10.9602	4.5335
10.937	4.5815
10.914	4.6205
10.8911	4.6832
10.8682	4.7521
10.8455	4.811
10.8229	4.8643
10.8003	4.9216
10.7779	4.9842
10.7555	5.0509
10.7332	5.1211
10.7111	5.1966
10.689	5.2555
10.667	5.3077
10.6451	5.361
10.6233	5.4262
10.6015	5.4991
10.5799	5.5721
10.5584	5.6405
10.5369	5.7039
10.5155	5.7647
10.4942	5.83
10.473	5.8888
10.4519	5.9568
10.4309	6.0214
10.4099	6.0848
10.3891	6.1551
10.3683	6.2226
10.3476	6.2996
10.327	6.3848
10.3065	6.4707
10.286	6.5592
10.2656	6.6475
10.2454	6.7456
10.2251	6.8504
10.205	6.9576
10.185	7.0693
10.165	7.1916
10.1451	7.3359
10.1253	7.4859
10.1056	7.6297
10.0859	7.7806
10.0663	7.9348
10.0468	8.0835
10.0274	8.218
10.008	8.3534
9.9887	8.5066
9.9695	8.665
9.9504	8.8039
9.9313	8.9274
9.9123	9.0313
9.8934	9.1004
9.8746	9.1482
9.8558	9.192
9.8371	9.2287
9.8185	9.2597
9.7999	9.2813
9.7814	9.3119
9.763	9.3477
9.7447	9.3789
9.7264	9.4292
9.7082	9.4825
9.69	9.5265
9.6719	9.5765
9.6539	9.6239
9.636	9.6657
9.6181	9.6947
9.6003	9.7294
9.5825	9.7911
9.5649	9.8767
