Name:  White Marble
Type:  Manmade materials
Class:  General Construction Materials
Subclass:  Marble
Particle Size: Solid
Sample No.: 0722UUUMBL
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center.
Description:  White weathered construction marble. Sample was 
beach sidewalk from Greece (Naxos).




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.3
Last X Value:  14
Number of X Values:  551
Additional Information:  None

0.3	29.35
0.302	29.72
0.304	30.08
0.306	30.41
0.308	30.74
0.31	31.06
0.312	31.37
0.314	31.68
0.316	32
0.318	32.42
0.32	32.84
0.322	33.14
0.324	33.44
0.326	33.75
0.328	34.06
0.33	34.37
0.332	34.69
0.334	35
0.336	35.33
0.338	35.68
0.34	36.04
0.342	36.42
0.344	36.83
0.346	37.25
0.348	37.69
0.35	38.16
0.352	38.65
0.354	39.18
0.356	39.74
0.358	40.32
0.36	40.93
0.362	41.58
0.364	42.25
0.366	42.97
0.368	43.71
0.37	44.49
0.372	45.3
0.374	46.15
0.376	47.03
0.378	48.07
0.38	49.15
0.382	50.07
0.384	50.98
0.386	51.89
0.388	52.77
0.39	53.62
0.392	54.44
0.394	55.21
0.396	55.96
0.398	56.67
0.4	57.34
0.402	57.97
0.404	58.58
0.406	59.16
0.408	59.71
0.41	60.22
0.412	60.72
0.414	61.2
0.416	61.68
0.418	62.15
0.42	62.62
0.422	63.09
0.424	63.55
0.426	64.03
0.428	64.51
0.43	64.99
0.432	65.47
0.434	65.95
0.436	66.42
0.438	66.88
0.44	67.31
0.442	67.72
0.444	68.11
0.446	68.46
0.448	68.78
0.45	69.07
0.452	69.35
0.454	69.59
0.456	69.81
0.458	70
0.46	70.19
0.462	70.37
0.464	70.53
0.466	70.71
0.468	70.87
0.47	71.04
0.472	71.2
0.474	71.38
0.476	71.56
0.478	71.74
0.48	71.94
0.482	72.16
0.484	72.37
0.486	72.57
0.488	72.8
0.49	73.04
0.492	73.28
0.494	73.52
0.496	73.77
0.498	74.01
0.5	74.26
0.502	74.5
0.504	74.75
0.506	75
0.508	75.26
0.51	75.5
0.512	75.72
0.514	75.96
0.516	76.18
0.518	76.4
0.52	76.62
0.522	76.83
0.524	77.04
0.526	77.24
0.528	77.43
0.53	77.61
0.532	77.8
0.534	77.97
0.536	78.14
0.538	78.31
0.54	78.47
0.542	78.63
0.544	78.78
0.546	78.92
0.548	79.07
0.55	79.21
0.552	79.33
0.554	79.45
0.556	79.56
0.558	79.69
0.56	79.81
0.562	79.9
0.564	79.99
0.566	80.08
0.568	80.16
0.57	80.24
0.572	80.33
0.574	80.41
0.576	80.48
0.578	80.54
0.58	80.61
0.582	80.67
0.584	80.73
0.586	80.78
0.588	80.83
0.59	80.88
0.592	80.92
0.594	80.95
0.596	81
0.598	81.06
0.6	81.09
0.602	81.13
0.604	81.17
0.606	81.2
0.608	81.24
0.61	81.27
0.612	81.3
0.614	81.34
0.616	81.37
0.618	81.4
0.62	81.43
0.622	81.47
0.624	81.51
0.626	81.54
0.628	81.58
0.63	81.61
0.632	81.66
0.634	81.72
0.636	81.75
0.638	81.79
0.64	81.83
0.642	81.86
0.644	81.88
0.646	81.93
0.648	81.98
0.65	82.03
0.652	82.07
0.654	82.11
0.656	82.16
0.658	82.21
0.66	82.25
0.662	82.28
0.664	82.34
0.666	82.4
0.668	82.44
0.67	82.48
0.672	82.53
0.674	82.6
0.676	82.64
0.678	82.67
0.68	82.7
0.682	82.72
0.684	82.74
0.686	82.78
0.688	82.8
0.69	82.85
0.692	82.89
0.694	82.93
0.696	82.96
0.698	83.02
0.7	83.05
0.702	83.1
0.704	83.14
0.706	83.15
0.708	83.2
0.71	83.25
0.712	83.29
0.714	83.31
0.716	83.35
0.718	83.38
0.72	83.4
0.722	83.44
0.724	83.48
0.726	83.51
0.728	83.53
0.73	83.56
0.732	83.6
0.734	83.63
0.736	83.66
0.738	83.68
0.74	83.7
0.742	83.73
0.744	83.77
0.746	83.8
0.748	83.81
0.75	83.83
0.752	83.87
0.754	83.88
0.756	83.92
0.758	83.96
0.76	83.96
0.762	83.97
0.764	83.99
0.766	84.02
0.768	84.04
0.77	84.07
0.772	84.1
0.774	84.11
0.776	84.16
0.778	84.18
0.78	84.19
0.782	84.19
0.784	84.21
0.786	84.22
0.788	84.25
0.79	84.29
0.792	84.29
0.794	84.31
0.796	84.31
0.798	84.34
0.8	84.34
0.82	84.47
0.84	84.55
0.86	84.66
0.88	84.24
0.9	83.97
0.92	83.78
0.94	83.65
0.96	83.89
0.98	84.07
1	84.25
1.02	84.41
1.04	84.54
1.06	84.74
1.08	84.97
1.1	85.22
1.12	85.46
1.14	85.59
1.16	85.63
1.18	85.69
1.2	85.84
1.22	86.32
1.24	86.78
1.26	87.06
1.28	87.23
1.3	87.34
1.32	87.31
1.34	87.1
1.36	86.79
1.38	85.89
1.4	83.28
1.42	81.25
1.44	80.79
1.46	80.66
1.48	81.57
1.5	83.24
1.52	84.38
1.54	84.83
1.56	84.33
1.58	85.67
1.6	86.64
1.62	86.4
1.64	85.51
1.66	85.34
1.68	84.56
1.7	81.45
1.72	78.48
1.74	77.16
1.76	77.9
1.78	82.35
1.8	81.52
1.82	76.78
1.84	68.51
1.86	59.26
1.88	53.88
1.9	62.79
1.92	61.66
1.94	59.44
1.96	55.09
1.98	50.74
2	48.57
2.02	63.28
2.04	72.28
2.06	75.1
2.08	74.36
2.1	70.13
2.12	63.81
2.14	53.9
2.16	47.56
2.18	52.98
2.2	52.89
2.22	45.37
2.24	35.29
2.26	25.6432
2.28	17.915
2.3	13.5282
2.32	11.5688
2.34	9.8767
2.36	15.2506
2.38	28.4764
2.4	31.9066
2.42	27.974
2.44	20.0326
2.46	13.7252
2.48	9.5806
2.5	8.3423
2.52	7.4527
2.54	7.3425
2.56	12.3993
2.58	19.959
2.6	28.8456
2.62	33.4104
2.64	35.8284
2.66	34.258
2.68	28.6574
2.7	19.2188
2.72	12.1138
2.74	9.1508
2.76	7.6575
2.78	6.1926
2.8	6.2643
2.82	6.9638
2.84	7.2946
2.86	7.1906
2.88	7.0273
2.9	6.9564
2.92	6.8089
2.94	6.6466
2.96	6.5817
2.98	6.5325
3	6.3883
3.02	6.2922
3.04	6.0225
3.06	5.8877
3.08	5.6214
3.1	5.326
3.12	5.1745
3.14	5.1243
3.16	5.2755
3.18	5.5926
3.2	5.5884
3.22	5.5192
3.24	5.2944
3.26	5.1158
3.28	4.7768
3.3	4.4873
