Name:  Pine Wood
Type:  Manmade materials
Class:  General Construction Materials
Subclass:  Woods
Particle Size: Solid
Sample No.:  0410UUUWOD
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center.
Description:  Bare pine wood construction lumber. Wood surface was 
sanded and buffed.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.42
Last X Value: 14
Number of X Values:  491
Additional Information:  None

0.42	17.6754
0.422	17.1132
0.424	18.1817
0.426	18.0129
0.428	18.5446
0.43	19.1643
0.432	19.675
0.434	20.1444
0.436	20.8081
0.438	21.5726
0.44	22.0385
0.442	22.4133
0.444	23.0292
0.446	23.5304
0.448	23.8627
0.45	24.2041
0.452	24.569
0.454	25.0652
0.456	25.5345
0.458	25.8468
0.46	26.0876
0.462	26.5316
0.464	26.7943
0.466	27.1279
0.468	27.4764
0.47	27.8345
0.472	28.1645
0.474	28.5581
0.476	28.9308
0.478	29.3478
0.48	29.7468
0.482	30.1503
0.484	30.5939
0.486	31.0639
0.488	31.5494
0.49	32.0361
0.492	32.5836
0.494	33.1308
0.496	33.6438
0.498	34.1037
0.5	34.5886
0.502	35.0124
0.504	35.4392
0.506	35.8603
0.508	36.3227
0.51	36.7451
0.512	37.2091
0.514	37.6853
0.516	38.15
0.518	38.6255
0.52	39.137
0.522	39.662
0.524	40.1899
0.526	40.7291
0.528	41.2868
0.53	41.8361
0.532	42.3968
0.534	42.9555
0.536	43.4775
0.538	43.985
0.54	44.4836
0.542	44.9563
0.544	45.4257
0.546	45.9005
0.548	46.341
0.55	46.7764
0.552	47.2299
0.554	47.6621
0.556	48.1114
0.558	48.5368
0.56	48.985
0.562	49.5036
0.564	50.0583
0.566	50.6038
0.568	51.074
0.57	51.6735
0.572	52.1996
0.574	52.7467
0.576	53.3089
0.578	53.9021
0.58	54.3817
0.582	54.8625
0.584	55.4627
0.586	56.0016
0.588	56.473
0.59	57.0113
0.592	57.5295
0.594	58.0521
0.596	58.5708
0.598	59.0241
0.6	59.492
0.602	59.9892
0.604	60.507
0.606	60.9808
0.608	61.3791
0.61	61.8953
0.612	62.3542
0.614	62.7278
0.616	63.2766
0.618	63.6816
0.62	64.0895
0.622	64.5523
0.624	65.0021
0.626	65.4154
0.628	65.8045
0.63	66.2009
0.632	66.6088
0.634	67.0401
0.636	67.44
0.638	67.8128
0.64	68.2087
0.642	68.6513
0.644	69.0627
0.646	69.3989
0.648	69.8069
0.65	70.2009
0.652	70.5873
0.654	70.9211
0.656	71.3053
0.658	71.6289
0.66	71.9948
0.662	72.2752
0.664	72.6584
0.666	72.9156
0.668	73.2406
0.67	73.5864
0.672	73.9119
0.674	74.2488
0.676	74.5029
0.678	74.7864
0.68	75.1097
0.682	75.4077
0.684	75.7364
0.686	75.9804
0.688	76.19
0.69	76.5244
0.692	76.8461
0.694	77.1488
0.696	77.4215
0.698	77.7179
0.7	77.9733
0.702	78.2715
0.704	78.5219
0.706	78.7924
0.708	79.0253
0.71	79.2913
0.712	79.4863
0.714	79.7421
0.716	79.9494
0.718	80.181
0.72	80.3603
0.722	80.6135
0.724	80.8188
0.726	81.0049
0.728	81.2096
0.73	81.3854
0.732	81.5488
0.734	81.7156
0.736	81.8666
0.738	82.0448
0.74	82.1965
0.742	82.3207
0.744	82.4811
0.746	82.5825
0.748	82.6964
0.75	82.8363
0.752	82.9458
0.754	83.0676
0.756	83.1919
0.758	83.3049
0.76	83.4276
0.762	83.5276
0.764	83.6415
0.766	83.7335
0.768	83.8605
0.77	83.9887
0.772	84.0935
0.774	84.1885
0.776	84.252
0.778	84.362
0.78	84.4573
0.782	84.5891
0.784	84.6888
0.786	84.7786
0.788	84.8673
0.79	84.9476
0.792	85.055
0.794	85.1417
0.796	85.2626
0.798	85.3417
0.8	85.4492
0.82	86.2879
0.84	87.0408
0.86	87.6195
0.88	87.9464
0.9	87.6289
0.92	87.0948
0.94	87.1308
0.96	86.0412
0.98	83.974
1	83.8412
1.02	84.5726
1.04	85.4157
1.06	86.0856
1.08	86.7293
1.1	87.1618
1.12	85.8522
1.14	82.7157
1.16	79.7186
1.18	77.7903
1.2	75.8097
1.22	75.9854
1.24	77.3879
1.26	78.5541
1.28	79.4661
1.3	80.0929
1.32	79.0523
1.34	75.7276
1.36	72.1911
1.38	69.123
1.4	62.903
1.42	53.9656
1.44	49.7859
1.46	48.8645
1.48	48.989
1.5	50.1414
1.52	51.5444
1.54	52.235
1.56	53.124
1.58	53.9121
1.6	55.4751
1.62	57.7996
1.64	59.1314
1.66	58.2783
1.68	57.5183
1.7	56.759
1.72	56.0274
1.74	56.0261
1.76	55.4181
1.78	54.9438
1.8	55.1208
1.82	55.7578
1.84	56.559
1.86	55.9898
1.88	51.6891
1.9	41.5443
1.92	34.5737
1.94	34.4765
1.96	37.1708
1.98	40.0952
2	42.4704
2.02	42.5703
2.04	40.3039
2.06	37.4516
2.08	35.5054
2.1	34.9378
2.12	35.099
2.14	35.9207
2.16	37.4585
2.18	39.3621
2.2	40.5025
2.22	40.6365
2.24	37.7015
2.26	33.2122
2.28	31.8319
2.3	32.248
2.32	30.8021
2.34	29.9574
2.36	30.2827
2.38	30.2302
2.4	30.4837
2.42	29.3762
2.44	27.0652
2.46	24.0337
2.48	22.1155
2.5	21.7163
2.52	22.4712
2.54	23.6734
2.56	24.2694
2.58	25.2647
2.6	26.3096
2.62	25.6985
2.64	26.3771
2.66	25.0026
2.68	23.1604
2.7	20.0518
2.72	13.356
2.74	8.1273
2.76	5.8796
2.78	4.4329
2.8	3.6867
2.82	3.1312
2.84	2.9842
2.86	2.8319
2.88	2.8084
2.9	2.8239
2.92	2.8746
2.94	2.9335
2.96	3.0364
2.98	3.1667
3	3.3925
3.02	3.5005
3.04	3.5644
3.06	3.7526
3.08	3.9313
3.1	4.1076
3.12	4.3288
3.14	4.5463
3.16	4.8408
3.18	5.2135
3.2	5.5468
3.22	5.9239
3.24	6.2533
3.26	6.6127
3.28	6.9584
3.3	7.1566
3.32	6.9941
3.34	6.6867
3.36	5.6537
3.38	4.8347
3.4	4.3183
3.42	4.3651
3.44	4.4702
3.46	4.6379
3.48	4.8026
3.5	5.0787
3.52	5.8108
3.54	6.8818
3.56	7.7528
3.58	8.358
3.6	8.7106
3.62	8.9191
3.64	9.036
3.66	9.1697
3.68	9.4449
3.7	9.8602
3.72	10.2858
3.74	10.6474
3.76	10.983
3.78	11.2568
3.8	11.6208
3.82	11.9468
