Name:  Aluminum Metal
Type:  Manmade materials
Class:  Roofing Materials
Subclass:  Metal
Particle Size: Solid
Sample No.:  0384UUUALM
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center.
Description:  Bare aluminum metal that is weathered and 
scratched/scored.  From electronics, roofings, switch covers.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.3
Last X Value: 12.5
Number of X Values: 536
Additional Information:  None

0.3	29.07
0.302	29.27
0.304	29.49
0.306	29.7
0.308	29.92
0.31	30.15
0.312	30.39
0.314	30.63
0.316	30.88
0.318	31.1
0.32	31.35
0.322	31.62
0.324	31.9
0.326	32.18
0.328	32.46
0.33	32.74
0.332	33.03
0.334	33.32
0.336	33.61
0.338	33.89
0.34	34.17
0.342	34.45
0.344	34.73
0.346	35
0.348	35.25
0.35	35.5
0.352	35.75
0.354	35.99
0.356	36.22
0.358	36.43
0.36	36.64
0.362	36.85
0.364	37.04
0.366	37.24
0.368	37.41
0.37	37.6
0.372	37.77
0.374	37.95
0.376	38.12
0.378	38.33
0.38	38.54
0.382	38.71
0.384	38.89
0.386	39.07
0.388	39.26
0.39	39.43
0.392	39.62
0.394	39.79
0.396	39.97
0.398	40.16
0.4	40.35
0.402	40.52
0.404	40.7
0.406	40.89
0.408	41.07
0.41	41.25
0.412	41.43
0.414	41.61
0.416	41.79
0.418	41.97
0.42	42.16
0.422	42.34
0.424	42.51
0.426	42.69
0.428	42.87
0.43	43.05
0.432	43.22
0.434	43.39
0.436	43.56
0.438	43.73
0.44	43.89
0.442	44.05
0.444	44.22
0.446	44.38
0.448	44.54
0.45	44.69
0.452	44.85
0.454	44.99
0.456	45.13
0.458	45.26
0.46	45.39
0.462	45.52
0.464	45.64
0.466	45.76
0.468	45.89
0.47	46.02
0.472	46.14
0.474	46.26
0.476	46.36
0.478	46.47
0.48	46.61
0.482	46.75
0.484	46.88
0.486	47
0.488	47.13
0.49	47.24
0.492	47.34
0.494	47.43
0.496	47.5
0.498	47.57
0.5	47.65
0.502	47.72
0.504	47.81
0.506	47.9
0.508	48
0.51	48.09
0.512	48.19
0.514	48.29
0.516	48.38
0.518	48.46
0.52	48.56
0.522	48.65
0.524	48.73
0.526	48.82
0.528	48.91
0.53	48.99
0.532	49.07
0.534	49.16
0.536	49.24
0.538	49.31
0.54	49.39
0.542	49.48
0.544	49.56
0.546	49.63
0.548	49.72
0.55	49.8
0.552	49.88
0.554	49.95
0.556	50.02
0.558	50.1
0.56	50.19
0.562	50.25
0.564	50.32
0.566	50.38
0.568	50.45
0.57	50.52
0.572	50.59
0.574	50.66
0.576	50.73
0.578	50.8
0.58	50.86
0.582	50.93
0.584	50.99
0.586	51.05
0.588	51.12
0.59	51.17
0.592	51.23
0.594	51.29
0.596	51.35
0.598	51.42
0.6	51.48
0.602	51.54
0.604	51.6
0.606	51.66
0.608	51.71
0.61	51.76
0.612	51.82
0.614	51.87
0.616	51.92
0.618	51.98
0.62	52.03
0.622	52.08
0.624	52.14
0.626	52.18
0.628	52.24
0.63	52.29
0.632	52.34
0.634	52.38
0.636	52.43
0.638	52.47
0.64	52.52
0.642	52.55
0.644	52.59
0.646	52.64
0.648	52.69
0.65	52.74
0.652	52.76
0.654	52.81
0.656	52.85
0.658	52.9
0.66	52.94
0.662	52.97
0.664	53
0.666	53.04
0.668	53.08
0.67	53.11
0.672	53.15
0.674	53.19
0.676	53.22
0.678	53.25
0.68	53.27
0.682	53.31
0.684	53.33
0.686	53.37
0.688	53.39
0.69	53.41
0.692	53.44
0.694	53.47
0.696	53.49
0.698	53.53
0.7	53.54
0.702	53.57
0.704	53.58
0.706	53.59
0.708	53.62
0.71	53.64
0.712	53.66
0.714	53.67
0.716	53.68
0.718	53.7
0.72	53.69
0.722	53.69
0.724	53.71
0.726	53.72
0.728	53.71
0.73	53.72
0.732	53.73
0.734	53.72
0.736	53.72
0.738	53.72
0.74	53.71
0.742	53.7
0.744	53.7
0.746	53.69
0.748	53.68
0.75	53.65
0.752	53.63
0.754	53.6
0.756	53.58
0.758	53.57
0.76	53.54
0.762	53.51
0.764	53.48
0.766	53.44
0.768	53.41
0.77	53.37
0.772	53.35
0.774	53.31
0.776	53.28
0.778	53.25
0.78	53.2
0.782	53.15
0.784	53.1
0.786	53.08
0.788	53.04
0.79	53
0.792	52.96
0.794	52.92
0.796	52.88
0.798	52.84
0.8	52.8
0.82	52.69
0.84	53.16
0.86	54.47
0.88	56.63
0.9	59.1
0.92	60.98
0.94	62.79
0.96	64.5
0.98	66.11
1	67.45
1.02	68.68
1.04	69.74
1.06	70.78
1.08	71.62
1.1	72.45
1.12	73.23
1.14	73.88
1.16	74.47
1.18	75.06
1.2	75.54
1.22	76.05
1.24	76.5
1.26	76.95
1.28	77.36
1.3	77.71
1.32	78.06
1.34	78.39
1.36	78.72
1.38	79.01
1.4	79.25
1.42	79.52
1.44	79.88
1.46	80.17
1.48	80.41
1.5	80.71
1.52	80.94
1.54	81.21
1.56	81.43
1.58	81.68
1.6	81.94
1.62	82.19
1.64	82.47
1.66	82.84
1.68	82.95
1.7	83.23
1.72	83.47
1.74	83.59
1.76	83.61
1.78	83.79
1.8	83.96
1.82	83.95
1.84	84.06
1.86	84.18
1.88	84.4
1.9	84.52
1.92	84.6
1.94	84.64
1.96	84.81
1.98	85.24
2	85.7
2.02	86.05
2.04	86.11
2.06	86.23
2.08	86.39
2.1	86.65
2.12	87.04
2.14	87.17
2.16	86.97
2.18	86.92
2.2	86.94
2.22	86.81
2.24	86.81
2.26	87.6454
2.28	87.5076
2.3	87.4866
2.32	87.7238
2.34	87.7848
2.36	87.895
2.38	87.9098
2.4	87.956
2.42	87.9614
2.44	88.1052
2.46	88.5532
2.48	88.2456
2.5	88.3282
2.52	88.5156
2.54	88.7128
2.56	88.4936
2.58	88.6788
2.6	88.682
2.62	88.7228
2.64	88.9508
2.66	89.0766
2.68	88.9912
2.7	89.0016
2.72	88.9086
2.74	88.8312
2.76	88.7052
2.78	88.647
2.8	88.7874
2.82	88.6474
2.84	88.6304
2.86	88.5
2.88	88.3994
2.9	88.3346
2.92	88.4886
2.94	88.6524
2.96	88.7914
2.98	88.6678
3	88.5814
3.02	88.4534
3.04	88.839
3.06	88.7726
3.08	88.6044
3.1	88.6878
3.12	89.0744
3.14	89.2984
3.16	89.4472
3.18	89.4992
3.2	89.741
3.22	89.5222
3.24	89.5722
3.26	89.6778
3.28	89.9184
3.3	89.8428
3.32	89.7338
3.34	89.822
3.36	89.9394
3.38	89.6696
3.4	89.548
3.42	89.606
