EPSG_DB_FORMAT_A
code,name,type,unit,datum code,datum name,ellipsoid,False easting,Latitude of natural origin,False northing,Longitude of natural origin,Scale factor at natural origin,Azimuth of initial line,Latitude of projection centre,Northing at projection centre,Angle from Rectified to Skew Grid,Scale factor on initial line,Easting at projection centre,Longitude of projection centre,Latitude of pseudo standard parallel,Scale factor on pseudo standard parallel,Longitude of origin,Latitude of 2nd standard parallel,Latitude of false origin,Longitude of false origin,Latitude of 1st standard parallel,Northing at false origin,Easting at false origin,Latitude of standard parallel,Ellipsoidal height of topocentric origin,Latitude of topocentric origin,Longitude of topocentric origin,Geocentric Z of topocentric origin,Geocentric Y of topocentric origin,Geocentric X of topocentric origin,Viewpoint height,Initial longitude,Zone width
2000,Anguilla 1957 / British West Indies Grid,Transverse Mercator,metre,4600,Anguilla 1957,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2001,Antigua 1943 / British West Indies Grid,Transverse Mercator,metre,4601,Antigua 1943,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2002,Dominica 1945 / British West Indies Grid,Transverse Mercator,metre,4602,Dominica 1945,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2003,Grenada 1953 / British West Indies Grid,Transverse Mercator,metre,4603,Grenada 1953,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2004,Montserrat 1958 / British West Indies Grid,Transverse Mercator,metre,4604,Montserrat 1958,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2005,St. Kitts 1955 / British West Indies Grid,Transverse Mercator,metre,4605,St. Kitts 1955,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2006,St. Lucia 1955 / British West Indies Grid,Transverse Mercator,metre,4606,St. Lucia 1955,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2007,St. Vincent 45 / British West Indies Grid,Transverse Mercator,metre,4607,St. Vincent 1945,Clarke 1880 (RGS),400000,0,0,-62,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,NAD27(CGQ77) / SCoPQ zone 2,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-55.3,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2009,NAD27(CGQ77) / SCoPQ zone 3,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-58.3,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,NAD27(CGQ77) / SCoPQ zone 4,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-61.3,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,NAD27(CGQ77) / SCoPQ zone 5,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-64.3,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,NAD27(CGQ77) / SCoPQ zone 6,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-67.3,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,NAD27(CGQ77) / SCoPQ zone 7,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-70.3,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,NAD27(CGQ77) / SCoPQ zone 8,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-73.3,0.9999
2015,NAD27(CGQ77) / SCoPQ zone 9,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-76.3,0.9999
2016,NAD27(CGQ77) / SCoPQ zone 10,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,304800,0,0,-79.3,0.9999
2017,NAD27(76) / MTM zone 8,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-73.3,0.9999
2018,NAD27(76) / MTM zone 9,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-76.3,0.9999
2019,NAD27(76) / MTM zone 10,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-79.3,0.9999
2020,NAD27(76) / MTM zone 11,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-82.3,0.9999
2021,NAD27(76) / MTM zone 12,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-81,0.9999
2022,NAD27(76) / MTM zone 13,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-84,0.9999
2023,NAD27(76) / MTM zone 14,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-87,0.9999
2024,NAD27(76) / MTM zone 15,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-90,0.9999
2025,NAD27(76) / MTM zone 16,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-93,0.9999
2026,NAD27(76) / MTM zone 17,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,304800,0,0,-96,0.9999
2027,NAD27(76) / UTM zone 15N,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,500000,0,0,-93,0.9996
2028,NAD27(76) / UTM zone 16N,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,500000,0,0,-87,0.9996
2029,NAD27(76) / UTM zone 17N,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,500000,0,0,-81,0.9996
2030,NAD27(76) / UTM zone 18N,Transverse Mercator,metre,4608,North American Datum 1927 (1976),Clarke 1866,500000,0,0,-75,0.9996
2031,NAD27(CGQ77) / UTM zone 17N,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,500000,0,0,-81,0.9996
2032,NAD27(CGQ77) / UTM zone 18N,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,500000,0,0,-75,0.9996
2033,NAD27(CGQ77) / UTM zone 19N,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,500000,0,0,-69,0.9996
2034,NAD27(CGQ77) / UTM zone 20N,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,500000,0,0,-63,0.9996
2035,NAD27(CGQ77) / UTM zone 21N,Transverse Mercator,metre,4609,North American Datum 1927 (CGQ77),Clarke 1866,500000,0,0,-57,0.9996
2039,Israel / Israeli TM Grid,Transverse Mercator,metre,4141,Israel,GRS 1980,219529.584,31.4403817,626907.39,35.1216261,1.0000067
2040,Locodjo 1965 / UTM zone 30N,Transverse Mercator,metre,4142,Locodjo 1965,Clarke 1880 (RGS),500000,0,0,-3,0.9996
2041,Abidjan 1987 / UTM zone 30N,Transverse Mercator,metre,4143,Abidjan 1987,Clarke 1880 (RGS),500000,0,0,-3,0.9996
2042,Locodjo 1965 / UTM zone 29N,Transverse Mercator,metre,4142,Locodjo 1965,Clarke 1880 (RGS),500000,0,0,-9,0.9996
2043,Abidjan 1987 / UTM zone 29N,Transverse Mercator,metre,4143,Abidjan 1987,Clarke 1880 (RGS),500000,0,0,-9,0.9996
2044,Hanoi 1972 / Gauss-Kruger zone 18,Transverse Mercator,metre,4147,Hanoi 1972,Krassowsky 1940,18500000,0,0,105,1
2045,Hanoi 1972 / Gauss-Kruger zone 19,Transverse Mercator,metre,4147,Hanoi 1972,Krassowsky 1940,19500000,0,0,111,1
2046,Hartebeesthoek94 / Lo15,Transverse Mercator (South Orientated),metre,4148,Hartebeesthoek94,WGS 84,0,0,0,15,1
2047,Hartebeesthoek94 / Lo17,Transverse Mercator (South Orientated),metre,4148,Hartebeesthoek94,WGS 84,0,0,0,17,1
2048,Hartebeesthoek94 / Lo19,Transverse Mercator (South Orientated),metre,4148,Hartebeesthoek94,WGS 84,0,0,0,19,1
2049,Hartebeesthoek94 / Lo21,Transverse Mercator (South Orientated),metre,4148,Hartebeesthoek94,WGS 84,0,0,0,21,1,0,0,0,0,0,0,0,0,0,
2050,Hartebeesthoek94 / Lo23,Transverse Mercator (South Orientated),metre,4148,Hartebeesthoek94,WGS 84,0,0,0,23,1,0,0,0,0,0,0,0,0,0,
2051,Hartebeesthoek94 / Lo25,Transverse Mercator (South Orientated),metre,4148,Hartebeesthoek94,WGS 84,0,0,0,25,1,0,0,0,0,0,0,0,0,0,
2052,Hartebeesthoek94 / Lo27,Transverse Mercator (South Orientated),metre,4148,Hartebeesthoek94,WGS 84,0,0,0,27,1,0,0,0,0,0,0,0,0,0,
