WKT_PCS
COORD_REF_SYS_CODE,COORD_REF_SYS_NAME,FALSE_EASTING,FALSE_NORTHING,PARAMETER_VALUE_1,PARAMETER_VALUE_2,PARAMETER_VALUE_3,PARAMETER_VALUE_4,UNIT
2000,Anguilla_1957_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2001,Antigua_1943_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2002,Dominica_1945_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2003,Grenada_1953_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2004,Montserrat_1958_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2005,St_Kitts_1955_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2006,St_Lucia_1955_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2007,St_Vincent_1945_British_West_Indies_Grid,400000,0,-62,0.9995, ,0,Meter
2008,NAD_1927_CGQ77_MTM_2_SCoPQ,304800,0,-55.5,0.9999, ,0,Meter
2009,NAD_1927_CGQ77_MTM_3_SCoPQ,304800,0,-58.5,0.9999, ,0,Meter
2010,NAD_1927_CGQ77_MTM_4_SCoPQ,304800,0,-61.5,0.9999, ,0,Meter
2011,NAD_1927_CGQ77_MTM_5_SCoPQ,304800,0,-64.5,0.9999, ,0,Meter
2012,NAD_1927_CGQ77_MTM_6_SCoPQ,304800,0,-67.5,0.9999, ,0,Meter
2013,NAD_1927_CGQ77_MTM_7_SCoPQ,304800,0,-70.5,0.9999, ,0,Meter
2014,NAD_1927_CGQ77_MTM_8_SCoPQ,304800,0,-73.5,0.9999, ,0,Meter
2015,NAD_1927_CGQ77_MTM_9_SCoPQ,304800,0,-76.5,0.9999, ,0,Meter
2016,NAD_1927_CGQ77_MTM_10_SCoPQ,304800,0,-79.5,0.9999, ,0,Meter
2017,NAD_1927_DEF_1976_MTM_8,304800,0,-73.5,0.9999, ,0,Meter
2018,NAD_1927_DEF_1976_MTM_9,304800,0,-76.5,0.9999, ,0,Meter
2019,NAD_1927_DEF_1976_MTM_10,304800,0,-79.5,0.9999, ,0,Meter
2020,NAD_1927_DEF_1976_MTM_11,304800,0,-82.5,0.9999, ,0,Meter
2021,NAD_1927_DEF_1976_MTM_12,304800,0,-81,0.9999, ,0,Meter
2022,NAD_1927_DEF_1976_MTM_13,304800,0,-84,0.9999, ,0,Meter
2023,NAD_1927_DEF_1976_MTM_14,304800,0,-87,0.9999, ,0,Meter
2024,NAD_1927_DEF_1976_MTM_15,304800,0,-90,0.9999, ,0,Meter
2025,NAD_1927_DEF_1976_MTM_16,304800,0,-93,0.9999, ,0,Meter
2026,NAD_1927_DEF_1976_MTM_17,304800,0,-96,0.9999, ,0,Meter
2027,NAD_1927_DEF_1976_UTM_Zone_15N,500000,0,-93,0.9996, ,0,Meter
2028,NAD_1927_DEF_1976_UTM_Zone_16N,500000,0,-87,0.9996, ,0,Meter
2029,NAD_1927_DEF_1976_UTM_Zone_17N,500000,0,-81,0.9996, ,0,Meter
2030,NAD_1927_DEF_1976_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
2031,NAD_1927_CGQ77_UTM_Zone_17N,500000,0,-81,0.9996, ,0,Meter
2032,NAD_1927_CGQ77_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
2033,NAD_1927_CGQ77_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
2034,NAD_1927_CGQ77_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
2035,NAD_1927_CGQ77_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
2036,NAD_1983_CSRS98_New_Brunswick_Stereographic,2500000,7500000,-66.5,0.999912, ,46.5,Meter
2037,NAD_1983_CSRS98_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
2038,NAD_1983_CSRS98_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
2039,Israel_TM_Grid,219529.584,626907.39,35.20451694,1.0000067, ,31.73439361,Meter
2040,Locodjo_1965_UTM_Zone_30N,500000,0,-3,0.9996, ,0,Meter
2041,Abidjan_1987_UTM_Zone_30N,500000,0,-3,0.9996, ,0,Meter
2042,Locodjo_1965_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
2043,Abidjan_1987_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
2044,Hanoi_1972_GK_Zone_18,18500000,0,105,1, ,0,Meter
2045,Hanoi_1972_GK_Zone_19,19500000,0,111,1, ,0,Meter
2056,CH1903+_LV95,2600000,1200000,1,90,7.439583333,46.95240556,Meter
2057,Rassadiran_Nakhl_e_Taqi,658377.437,3044969.194,0.999895934,0.571661194,52.60353917,27.56882881,Meter
2058,ED_1950_ED77_UTM_Zone_38N,500000,0,45,0.9996, ,0,Meter
2059,ED_1950_ED77_UTM_Zone_39N,500000,0,51,0.9996, ,0,Meter
2060,ED_1950_ED77_UTM_Zone_40N,500000,0,57,0.9996, ,0,Meter
2061,ED_1950_ED77_UTM_Zone_41N,500000,0,63,0.9996, ,0,Meter
2062,Madrid_1870_Madrid_Spain,600000,600000,0,40,0.998808529,40,Meter
2063,Dabola_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
2064,Dabola_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
2066,Mount_Dillon_Tobago_Grid,187500,180000,-60.68600889,1, ,11.25217861,Link_Clarke
2067,Naparima_1955_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
2068,ELD_1979_Libya_5,200000,0,9,0.9999, ,0,Meter
2069,ELD_1979_Libya_6,200000,0,11,0.9999, ,0,Meter
2070,ELD_1979_Libya_7,200000,0,13,0.9999, ,0,Meter
2071,ELD_1979_Libya_8,200000,0,15,0.9999, ,0,Meter
2072,ELD_1979_Libya_9,200000,0,17,0.9999, ,0,Meter
