SPCS_EPSG_MAP
spcs_name,pcs_code
NAD27_SPAF_2102,26802
NAD27_SPAF_2101,26801
NAD27_SPAF_2103,26803
NAD27_SPAF_0101,26729
NAD27_SPAF_0102,26730
NAD27_SPAF_5010,26740
NAD27_SPAF_5002,26732
NAD27_SPAF_5003,26733
NAD27_SPAF_5004,26734
NAD27_SPAF_5005,26735
NAD27_SPAF_5006,26736
NAD27_SPAF_5007,26737
NAD27_SPAF_5008,26738
NAD27_SPAF_5009,26739
NAD27_SPAF_0202,26749
NAD27_SPAF_0201,26748
NAD27_SPAF_0203,26750
NAD27_SPAF_0301,26751
NAD27_SPAF_0302,26752
NAD27_SPAF_0401,26741
NAD27_SPAF_0402,26742
NAD27_SPAF_0403,26743
NAD27_SPAF_0404,26744
NAD27_SPAF_0405,26745
NAD27_SPAF_0406,26746
NAD27_SPAF_0407,26747
NAD27_SPAF_0502,26754
NAD27_SPAF_0501,26753
NAD27_SPAF_0503,26755
NAD27_SPAF_0600,26756
NAD27_SPAF_0700,26757
NAD27_SPAF_0901,26758
NAD27_SPAF_0902,26760
NAD27_SPAF_0903,26759
NAD27_SPAF_1001,26766
NAD27_SPAF_1002,26767
NAD27_SPAF_5101,26761
NAD27_SPAF_5102,26762
NAD27_SPAF_5103,26763
NAD27_SPAF_5104,26764
NAD27_SPAF_5105,26765
NAD27_SPAF_1102,26769
NAD27_SPAF_1101,26768
NAD27_SPAF_1103,26770
NAD27_SPAF_1201,26771
NAD27_SPAF_1202,26772
NAD27_SPAF_1301,26773
NAD27_SPAF_1302,26774
NAD27_SPAF_1401,26775
NAD27_SPAF_1402,26776
NAD27_SPAF_1501,26777
NAD27_SPAF_1502,26778
NAD27_SPAF_1601,26779
NAD27_SPAF_1602,26780
NAD27_SPAF_1701,26781
NAD27_SPAF_1702,26782
NAD27_SPAF_1801,26783
NAD27_SPAF_1802,26784
NAD27_SPAF_1900,26785
NAD27_SPAF_2001,26786
NAD27_SPAF_2002,26787
NAD27_SPAF_2112,26789
NAD27_SPAF_2111,26788
NAD27_SPAF_2113,26790
NAD27_SPAF_2202,26792
NAD27_SPAF_2201,26791
NAD27_SPAF_2203,26793
NAD27_SPAF_2301,26794
NAD27_SPAF_2302,26795
NAD27_SPAF_2402,26797
NAD27_SPAF_2401,26796
NAD27_SPAF_2403,26798
NAD27_SPAF_2502,32002
NAD27_SPAF_2501,32001
NAD27_SPAF_2503,32003
NAD27_SPAF_2601,32005
NAD27_SPAF_2602,32006
NAD27_SPAF_2702,32008
NAD27_SPAF_2701,32007
NAD27_SPAF_2703,32009
NAD27_SPAF_2800,32010
NAD27_SPAF_2900,32011
NAD27_SPAF_3002,32013
NAD27_SPAF_3001,32012
NAD27_SPAF_3003,32014
NAD27_SPAF_3102,32016
NAD27_SPAF_3101,32015
NAD27_SPAF_3104,32018
NAD27_SPAF_3103,32017
NAD27_SPAF_3200,32019
NAD27_SPAF_3301,32020
NAD27_SPAF_3302,32021
NAD27_SPAF_3401,32022
NAD27_SPAF_3402,32023
NAD27_SPAF_3501,32024
NAD27_SPAF_3502,32025
NAD27_SPAF_3601,32026
NAD27_SPAF_3602,32027
NAD27_SPAF_3701,32028
NAD27_SPAF_3702,32029
NAD27_SPAF_5201,32059
NAD27_SPAF_3800,32030
NAD27_SPAF_3901,32031
NAD27_SPAF_3902,32033
NAD27_SPAF_4001,32034
NAD27_SPAF_4002,32035
NAD27_SPAF_5202,32060
NAD27_SPAF_4100,32036
NAD27_SPAF_4203,32039
NAD27_SPAF_4201,32037
NAD27_SPAF_4202,32038
NAD27_SPAF_4205,32041
NAD27_SPAF_4204,32040
NAD27_SPAF_4302,32043
NAD27_SPAF_4301,32042
NAD27_SPAF_4303,32044
NAD27_SPAF_4400,32045
NAD27_SPAF_4501,32046
NAD27_SPAF_4502,32047
NAD27_SPAF_4601,32048
NAD27_SPAF_4602,32049
NAD27_SPAF_4701,32050
NAD27_SPAF_4702,32051
NAD27_SPAF_4802,32053
NAD27_SPAF_4801,32052
NAD27_SPAF_4803,32054
NAD27_SPAF_4902,32056
NAD27_SPAF_4901,32055
NAD27_SPAF_4903,32057
NAD27_SPAF_4904,32058
NAD83_SPCS_0101,26929
NAD83_SPCS_0102,26930
NAD83_SPCS_5010,26940
NAD83_SPCS_5002,26932
NAD83_SPCS_5003,26933
NAD83_SPCS_5004,26934
NAD83_SPCS_5005,26935
NAD83_SPCS_5006,26936
NAD83_SPCS_5007,26937
NAD83_SPCS_5008,26938
NAD83_SPCS_5009,26939
NAD83_SPCS_0202,26949
NAD83_SPCS_0201,26948
NAD83_SPCS_0203,26950
NAD83_SPCS_0301,26951
NAD83_SPCS_0302,26952
NAD83_SPCS_0401,26941
NAD83_SPCS_0402,26942
NAD83_SPCS_0403,26943
NAD83_SPCS_0404,26944
NAD83_SPCS_0405,26945
NAD83_SPCS_0406,26946
NAD83_SPCS_0407,26954
NAD83_SPCS_0502,26953
NAD83_SPCS_0501,26955
NAD83_SPCS_0503,26956
NAD83_SPCS_0600,26957
