STATE_PLANE
name,pcs_code,projection_code,param1,param2,param3,param4,false_easting,false_northing,linear_units,datum_code
NAD_1983_HARN_StatePlane_Alabama_East_FIPS_0101,2759,tm,30.5,-85.83333333,25000,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Alabama_West_FIPS_0102,2760,tm,30,-87.5,14925,0,600000,0,meters,NAR
NAD_1983_HARN_StatePlane_Arizona_East_FIPS_0201,2761,tm,31,-110.1666667,10000,0,213360,0,meters,NAR
NAD_1983_HARN_StatePlane_Arizona_Central_FIPS_0202,2762,tm,31,-111.9166667,10000,0,213360,0,meters,NAR
NAD_1983_HARN_StatePlane_Arizona_West_FIPS_0203,2763,tm,31,-113.75,14925,0,213360,0,meters,NAR
NAD_1983_HARN_StatePlane_Arkansas_North_FIPS_0301,2764,lcc,34.33333333,-92,34.93333333,36.23333333,400000,0,meters,NAR
NAD_1983_HARN_StatePlane_Arkansas_South_FIPS_0302,2765,lcc,32.66666667,-92,33.3,34.76666667,400000,400000,meters,NAR
NAD_1983_HARN_StatePlane_California_I_FIPS_0401,2766,lcc,39.33333333,-122,40,41.66666667,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_II_FIPS_0402,2767,lcc,37.66666667,-122,38.33333333,39.83333333,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_III_FIPS_0403,2768,lcc,36.5,-120.5,37.06666667,38.43333333,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_IV_FIPS_0404,2769,lcc,35.33333333,-119,36,37.25,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_V_FIPS_0405,2770,lcc,33.5,-118,34.03333333,35.46666667,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_VI_FIPS_0406,2771,lcc,32.16666667,-116.25,32.78333333,33.88333333,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_Colorado_North_FIPS_0501,2772,lcc,39.33333333,-105.5,39.71666667,40.78333333,914401.8289,304800.6096,meters,NAR
NAD_1983_HARN_StatePlane_Colorado_Central_FIPS_0502,2773,lcc,37.83333333,-105.5,38.45,39.75,914401.8289,304800.6096,meters,NAR
NAD_1983_HARN_StatePlane_Colorado_South_FIPS_0503,2774,lcc,36.66666667,-105.5,37.23333333,38.43333333,914401.8289,304800.6096,meters,NAR
NAD_1983_HARN_StatePlane_Connecticut_FIPS_0600,2775,lcc,40.83333333,-72.75,41.2,41.86666667,304800.6096,152400.3048,meters,NAR
NAD_1983_HARN_StatePlane_Delaware_FIPS_0700,2776,tm,38,-75.41666667,200000,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Florida_East_FIPS_0901,2777,tm,24.33333333,-81,16949,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Florida_West_FIPS_0902,2778,tm,24.33333333,-82,16949.15254,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Florida_North_FIPS_0903,2779,lcc,29,-84.5,29.58333333,30.75,600000,0,meters,NAR
NAD_1983_HARN_StatePlane_Georgia_East_FIPS_1001,2780,tm,30,-82.16666667,10000,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Georgia_West_FIPS_1002,2781,tm,30,-84.16666667,10000,0,700000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_1_FIPS_5101,2782,tm,18.83333333,-155.5,30303,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_2_FIPS_5102,2783,tm,20.33333333,-156.6666667,30303,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_3_FIPS_5103,2784,tm,21.16666667,-158,100000,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_4_FIPS_5104,2785,tm,21.83333333,-159.5,100000,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_5_FIPS_5105,2786,tm,21.66666667,-160.1666667,100000,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Idaho_East_FIPS_1101,2787,tm,41.66666667,-112.1666667,18868,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Idaho_Central_FIPS_1102,2788,tm,41.66666667,-114,18868,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Idaho_West_FIPS_1103,2789,tm,41.66666667,-115.75,14925,0,800000,0,meters,NAR
NAD_1983_HARN_StatePlane_Illinois_East_FIPS_1201,2790,tm,36.66666667,-88.33333333,40000,0,300000,0,meters,NAR
