STATE_PLANE
name,pcs_code,projection_code,param1,param2,param3,param4,false_easting,false_northing,linear_units,datum_code
NAD_1983_HARN_StatePlane_Alabama_East_FIPS_0101,102229,tm,30.5,-85.83333333,25000,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Alabama_West_FIPS_0102,102230,tm,30,-87.5,14925,0,600000,0,meters,NAR
NAD_1983_HARN_StatePlane_Arizona_Central_FIPS_0202,102249,tm,31,-111.9166667,10000,0,213360,0,meters,NAR
NAD_1983_HARN_StatePlane_Arizona_East_FIPS_0201,102248,tm,31,-110.1666667,10000,0,213360,0,meters,NAR
NAD_1983_HARN_StatePlane_Arizona_West_FIPS_0203,102250,tm,31,-113.75,14925,0,213360,0,meters,NAR
NAD_1983_HARN_StatePlane_Arkansas_North_FIPS_0301,102251,lcc,34.33333333,-92,34.93333333,36.23333333,400000,0,meters,NAR
NAD_1983_HARN_StatePlane_Arkansas_South_FIPS_0302,102252,lcc,32.66666667,-92,33.3,34.76666667,400000,400000,meters,NAR
NAD_1983_HARN_StatePlane_California_I_FIPS_0401,102241,lcc,39.33333333,-122,40,41.66666667,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_II_FIPS_0402,102242,lcc,37.66666667,-122,38.33333333,39.83333333,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_III_FIPS_0403,102243,lcc,36.5,-120.5,37.06666667,38.43333333,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_IV_FIPS_0404,102244,lcc,35.33333333,-119,36,37.25,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_V_FIPS_0405,102245,lcc,33.5,-118,34.03333333,35.46666667,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_California_VI_FIPS_0406,102246,lcc,32.16666667,-116.25,32.78333333,33.88333333,2000000,500000,meters,NAR
NAD_1983_HARN_StatePlane_Colorado_Central_FIPS_0502,102254,lcc,37.83333333,-105.5,38.45,39.75,914401.8289,304800.6096,meters,NAR
NAD_1983_HARN_StatePlane_Colorado_North_FIPS_0501,102253,lcc,39.33333333,-105.5,39.71666667,40.78333333,914401.8289,304800.6096,meters,NAR
NAD_1983_HARN_StatePlane_Colorado_South_FIPS_0503,102255,lcc,36.66666667,-105.5,37.23333333,38.43333333,914401.8289,304800.6096,meters,NAR
NAD_1983_HARN_StatePlane_Connecticut_FIPS_0600,102256,lcc,40.83333333,-72.75,41.2,41.86666667,304800.6096,152400.3048,meters,NAR
NAD_1983_HARN_StatePlane_Delaware_FIPS_0700,102257,tm,38,-75.41666667,200000,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Florida_East_FIPS_0901,102258,tm,24.33333333,-81,16949,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Florida_North_FIPS_0903,102260,lcc,29,-84.5,29.58333333,30.75,600000,0,meters,NAR
NAD_1983_HARN_StatePlane_Florida_West_FIPS_0902,102259,tm,24.33333333,-82,16949.15254,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Georgia_East_FIPS_1001,102266,tm,30,-82.16666667,10000,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Georgia_West_FIPS_1002,102267,tm,30,-84.16666667,10000,0,700000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_1_FIPS_5101,102261,tm,18.83333333,-155.5,30303,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_2_FIPS_5102,102262,tm,20.33333333,-156.6666667,30303,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_3_FIPS_5103,102263,tm,21.16666667,-158,100000,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_4_FIPS_5104,102264,tm,21.83333333,-159.5,100000,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Hawaii_5_FIPS_5105,102265,tm,21.66666667,-160.1666667,100000,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Idaho_Central_FIPS_1102,102269,tm,41.66666667,-114,18868,0,500000,0,meters,NAR
NAD_1983_HARN_StatePlane_Idaho_East_FIPS_1101,102268,tm,41.66666667,-112.1666667,18868,0,200000,0,meters,NAR
NAD_1983_HARN_StatePlane_Idaho_West_FIPS_1103,102270,tm,41.66666667,-115.75,14925,0,800000,0,meters,NAR
NAD_1983_HARN_StatePlane_Illinois_East_FIPS_1201,102271,tm,36.66666667,-88.33333333,40000,0,300000,0,meters,NAR
NAD_1983_HARN_StatePlane_Illinois_West_FIPS_1202,102272,tm,36.66666667,-90.16666667,16949,0,700000,0,meters,NAR
NAD_1983_HARN_StatePlane_Indiana_East_FIPS_1301,102273,tm,37.5,-85.66666667,30303,0,100000,250000,meters,NAR
NAD_1983_HARN_StatePlane_Indiana_West_FIPS_1302,102274,tm,37.5,-87.08333333,30303,0,900000,250000,meters,NAR
NAD_1983_HARN_StatePlane_Kansas_North_FIPS_1501,102277,lcc,38.33333333,-98,38.71666667,39.78333333,400000,0,meters,NAR
