Name:  Garnet Gneiss 
Type:  Rocks
Class:  Metamorphic 
Subclass:  Gneiss 
Particle Size:  500-1500 Micrometer
Sample No.:  gneiss2.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 466, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a very coarse-grained rock composed of porphyroblasts of 
garnet frequently enclosing embayed remnants of tectosilicates and opaques.  
Larger grains of heavily altered alkali feldspar (oligoclase and K-spar) and quartz 
make up the bulk of the remainder of this rock.


Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  gneiss2a.txt 

14.9831	2.3615
14.9399	2.4603	
14.897	2.5867	
14.8543	2.7115	
14.8119	2.8096	
14.7697	2.8728	
14.7277	2.9126	
14.686	2.9484	
14.6445	2.9926	
14.6033	3.0478	
14.5622	3.1099	
14.5214	3.1679	
14.4809	3.2086	
14.4405	3.2254	
14.4004	3.2214	
14.3605	3.2065	
14.3209	3.1913
14.2814	3.1866
14.2422	3.1968
14.2032	3.2195
14.1643	3.2479
14.1258	3.2759
14.0874	3.3017
14.0492	3.3258
14.0112	3.3512
13.9734	3.381
13.9359	3.4149
13.8985	3.449
13.8614	3.4779
13.8244	3.4975
13.7876	3.5068
13.7511	3.5072
13.7147	3.5027
13.6785	3.4975
13.6425	3.4952
13.6067	3.4963
13.5711	3.5006
13.5356	3.5068
13.5004	3.5129
13.4653	3.5184
13.4304	3.5226
13.3957	3.5274
13.3612	3.5335
13.3269	3.5425
13.2927	3.5546
13.2587	3.5693
13.2249	3.5849
13.1912	3.6003
13.1578	3.6152
13.1244	3.6318
13.0913	3.6541
13.0583	3.6877
13.0255	3.7391
12.9929	3.8127
12.9604	3.9084
12.9281	4.0199
12.8959	4.1346
12.8639	4.234
12.8321	4.2989
12.8004	4.3153
12.7688	4.2797
12.7375	4.2035
12.7063	4.1097
12.6752	4.0271
12.6443	3.9816
12.6135	3.9856
12.5829	4.0339
12.5524	4.1035
12.5221	4.162
12.4919	4.1767
12.4619	4.1272
12.432	4.0121
12.4023	3.8487
12.3727	3.668
12.3432	3.5035
12.3139	3.3817
12.2847	3.3154
12.2557	3.3026
12.2268	3.3303
12.198	3.3813
12.1694	3.4405
